time,global_average_sea_level_change,global_average_sea_level_change_upper,global_average_sea_level_change_lower,glac_mean,glac_upper,glac_lower,GrIS_mean,GrIS_upper,GrIS_lower,AIS_mean,AIS_upper,AIS_lower,tws_mean,tws_upper,tws_lower,global_average_thermosteric_sea_level_change,global_average_thermosteric_sea_level_change_upper,global_average_thermosteric_sea_level_change_lower,sum_of_contrib_processes_mean,sum_of_contrib_processes_upper,sum_of_contrib_processes_lower
1900-06-15,-173.2614,-141.0028,-203.5573,-79.5537,-62.5,-95.5,-48.06443,-37.4,-58.8,-9.494853,-3.3,-16.15,12.32683,21.8,2.8,-48.27935,-37.55292,-58.66631,-173.0908,-146.7554,-199.2279
1901-06-15,-168.8017,-135.8976,-201.0185,-78.70381,-61.8,-94.6,-48.17939,-37.6,-58.95,-9.440325,-3.3,-16.0,15.2467,24.7,5.75,-49.1449,-38.8496,-58.75515,-170.2455,-144.4624,-195.4608
1902-06-15,-180.39,-148.2138,-212.0741,-77.84364,-61.2,-93.5,-47.8617,-37.45,-58.65,-9.385606,-3.3,-15.9,16.57081,26.1,7.15,-49.87756,-39.88883,-59.15502,-168.4218,-142.7917,-193.3698
1903-06-15,-170.2678,-138.9305,-202.6976,-77.27209,-60.55,-92.85,-47.45355,-36.95,-58.2,-9.33183,-3.3,-15.8,16.62429,26.1,7.15,-51.10059,-40.81586,-60.98501,-168.5576,-143.2258,-193.1899
1904-06-15,-168.7201,-137.4501,-200.167,-76.43074,-59.8,-91.8,-46.62656,-37.4,-56.2,-9.277636,-3.3,-15.65,16.22705,25.7,6.7,-52.24018,-41.37925,-62.58571,-168.3724,-142.7546,-193.1122
1905-06-15,-160.9814,-130.3515,-192.1313,-75.4351,-58.85,-90.7,-46.41721,-37.95,-55.1,-9.223116,-3.3,-15.55,16.79946,26.4,7.3,-53.02522,-43.17715,-62.01678,-167.3254,-142.6106,-190.9092
1906-06-15,-175.6053,-144.4894,-205.9265,-74.63531,-58.05,-89.7,-45.95629,-37.5,-54.45,-9.168591,-3.35,-15.4,14.79107,24.35,5.3,-54.00075,-43.22139,-64.65228,-168.996,-143.6178,-193.7552
1907-06-15,-169.2692,-139.9613,-200.8361,-73.98326,-57.65,-88.9,-45.59074,-37.25,-54.2,-9.114279,-3.35,-15.3,14.42116,23.85,4.95,-54.63808,-44.81405,-64.31616,-168.9296,-144.4166,-192.4955
1908-06-15,-184.1125,-152.5979,-214.9371,-73.19345,-57.05,-87.95,-44.88063,-36.55,-53.45,-9.060195,-3.35,-15.15,15.12819,24.65,5.7,-55.22195,-44.46862,-65.63857,-167.2526,-142.9986,-191.0009
1909-06-15,-178.726,-146.4989,-208.9869,-72.44661,-56.4,-86.95,-44.30749,-37.15,-51.7,-9.005735,-3.4,-15.05,15.98364,25.5,6.55,-56.30412,-46.29888,-66.40546,-166.1041,-142.3136,-189.1483
1910-06-15,-177.1215,-145.5295,-207.3851,-71.75109,-55.8,-86.25,-43.8577,-38.3,-49.45,-8.951541,-3.4,-14.95,16.35336,26.05,6.85,-57.15439,-46.9389,-66.61515,-165.3859,-142.6275,-188.1824
1911-06-15,-161.7186,-131.373,-191.8108,-70.86197,-55.05,-85.15,-43.78566,-38.3,-49.3,-8.897089,-3.4,-14.85,16.71663,26.25,7.25,-57.20584,-46.9419,-67.19209,-164.0583,-142.172,-186.8564
